;cat_id;count;cat_code
0;1;7;Rheinufer (inkl. Birsköpfli, Hafenareal, usw.), Birs, Wiese
1;2;2;Kurze Wege
2;3;14;Öffentlicher Verkehr
3;4;6;Viele Ladengeschäfte, Restaurants
4;5;11;Parks, Plätze, Grünflächen
5;6;4;Menschen
6;7;8;Freizeitangebote (Sport, Kulturelle Anlässe etc.)
7;8;5;Alles
8;11;1;Schule/ Ausbildung/ Arbeitsmöglichkeiten
9;12;9;Stadt (Innenstadt, Grösse der Stadt, Basel ist schön) 
10;14;1;Sicherheit
11;15;2;Infrastruktur
12;16;3;Kulturelle Vielfalt
13;18;1;Ruhe
14;20;1;Sauberkeit
15;999;1;Keine Angabe
