text_id;text;result
23;alles;[8]
24;Man hat alles was man braucht und ist nahe an den Grenzen;[8, 12]
26;die Menschen, die Klima;[6, 999]
27;Die möglichkeit schnell in der Stadt zu sein. Ist gross. Die vielen Verkährsmöglichkeiten.;[3]
31;Man kann vieles machen aktivitäten etc.;[7]
34;Es gibt viele mögliche Sachen zum unternehmen;[7]
35;Die Stadt, die Einkaufsläden, man hat fast alles was man im Notfall braucht;[4, 12]
39;Das es schulisch so viele möglichkeiten gibt.;[11]
40;die alten Gebäude  die Buse und trams  den Rhein;[1, 3, 5]
42;Die Möglichkeiten die wir haben und es ist einfach toll hier.;[8, 12, 17]
