;cat_id;count;cat_code
0;1;7;Rheinufer (inkl. Birsköpfli, Hafenareal, usw.), Birs, Wiese
1;2;2;Kurze Wege
2;3;14;Öffentlicher Verkehr
3;4;5;Viele Ladengeschäfte, Restaurants
4;5;11;Parks, Plätze, Grünflächen
5;6;6;Menschen
6;7;9;Freizeitangebote (Sport, Kulturelle Anlässe etc.)
7;8;4;Alles
8;11;1;Schule/ Ausbildung/ Arbeitsmöglichkeiten
9;12;12;Stadt (Innenstadt, Grösse der Stadt, Basel ist schön) 
10;14;1;Sicherheit
11;15;1;Infrastruktur
12;16;1;Kulturelle Vielfalt
13;17;2;Lebens- und Wohnstandard
14;18;1;Ruhe
15;20;1;Sauberkeit
16;999;1;Keine Angabe
