text_id;text;result
1;Die Nähe zur Stadt und dass man mit der BVB überall gut hinkommt. Mir gefällt, dass man im Rhein schwimmen kann und alles sehr kompakt ist. Und natürlich die Fasnacht.;[3, 7, 11, 12]
2;Das es den FCB gibt.;[-99]
3;Mir gefällt, dass die Innenstadt kompakt ist, dass der Rhein durch Basel fliesst.;[1, 12]
4;Ich mag die eher ruhige Umgebung, die aber trotzdem relativ nahe am Zentrum liegt (also mit Tram und Bus kommt man schnell in die Stadt).;[3, 12]
6;Die Innenstadt  das öffentliche Verkehrssystem  Direkt an der Grenze zu Deutschland und Frankreich;[3, 12]
7;Das es hier viele Unterhaltungsmöglichkeiten, wie Kino, Schwimmbäder etc., hat. Und die vielen Cafés;[7]
8;Park in der Nähe, lange Erlen-> Pumpwerk  Freunde, Trammhaltestelle in der Nähe, Spital;[5, 3]
9;Dass es viele Freizeitmöglichkeiten gibt (Rhein, Parks etc.);[7, 5]
10;Ausgang abends  Lange Erlen;[7]
11;Eigentlich fast alles;[8]
12;vorhandene Grünflächen;[5]
13;Es ist nicht zu klein und nicht zu gross. Man kennt viele Leute, kann aber noch mehr kennenlernen.;[6]
14;Es hat viele grüne Pärke;[5]
15;Das man Abends raus gehen kann und es ziemlich sicher ist.;[14]
16;Basel  Rhy schwimme;[1]
17;Das man so schnell einkaufen kann.;[4]
18;Stadt;[12]
20;viel Grün;[5]
21;Das man ganz schnell nach Deutschland kommt.  Und, dass alles in der Nähe isch;[2]
22;Schulareal  Stadt  Bus/ Tram-Verbindungen;[3, 12, 16]
23;alles;[8]
24;Man hat alles was man braucht und ist nahe an den Grenzen;[8, 12]
26;die Menschen, die Klima;[6, 999]
27;Die möglichkeit schnell in der Stadt zu sein. Ist gross. Die vielen Verkährsmöglichkeiten.;[3]
31;Man kann vieles machen aktivitäten etc.;[7]
34;Es gibt viele mögliche Sachen zum unternehmen;[7]
35;Die Stadt, die Einkaufsläden, man hat fast alles was man im Notfall braucht;[4, 12]
39;Das es schulisch so viele möglichkeiten gibt.;[11]
40;die alten Gebäude  die Buse und trams  den Rhein;[1, 3, 5]
42;Die Möglichkeiten die wir haben und es ist einfach toll hier.;[8]
43;Ein paar die freundlich sind zu mir.  Die Laden;[4, 6]
44;Alles;[8]
45;Die Parks, die Trams und die Busse;[3, 5, 6]
46;Die Parks;[5]
47;Der Rhein;[1]
48;Schwimmbad, Park, Laden, Bibliotheke;[5, 15]
49;Das die Büsse Tramhaltestellen mir nahe ist.;[3]
50;Die Ruhe in Basel;[18]
51;Dass es viele Einkaufsläden hat.;[4]
52;Dass es in meinem Quartier eigentlich überall Bus und Tram gibt. Man kommt schnell in die Stadt oder zum Bahnhof oder sonstiges.;[3]
53;Vieles;[4]
54;Das man schnell von a nach b kommt.;[2]
55;die Trams die Buse;[3]
56;Der Rhein  Kinos  Bachgraben;[1]
57;Ich liebe es einfach in einer Stadt zu leben in der es viel Verkehr hat. Die Sehenswürdigkeiten erstaunen mich jedes Mal wieder.;[12]
58;Der Rhein  Die Sauberkeit  Die vielen Tram/ Bus Möglichkeiten zum fahren;[3, 20]
59;Der Rhein, die öffentlichen Plätze, die noch vorhanden sind.;[1, 3, 5]
60;Menschen  ÖV  Aktivitäten;[3, 6, 7]
61;Wohnen im grünen Dorf, aber dennoch nahe an der Stadt;[5, 12]
62;die Grünflächen in Riehen  die Altstadt von Basel  Rhein;[1, 5, 12]
63;Nicht so gross, Schulhaus in der Nähe;[11]
64;Keine langen Wege, alles eher klein  Alles was man braucht;[2]
65;Guter ÖV, Sicherheit, Aktivitäten, Kleinbasler Atmosphäre, chille am Rhy;[3, 14, 7, 12, 1]
66;Schulen sind gut organisiert  Viele Orte für die Freizeit;[11, 7]
67;Bibliothek;[1]
68;Rhein  Inseli  Stadt;[1, 12]
69;Rhein  Stadt  Birsköpfchen;[1]
70;Die Nähe zu Deutschland und Frankreich  der Rhein  von der Natur umgeben zu sein;[1, 5]
71;die vielen Freizeitbeschäftigungen;[7]
72;Rhein  Stadtzentrum, Geschäft  Inseli, Birsköpfli;[1, 4, 12]
73;Die Stadt, Einkaufsmöglichkeit  Ausgangsmöglichkeite;[4, 7]
74;Velowege;[2]
75;JKF, Imagine, vielfälltige Anlässe  Freie Strasse, gute Verkehrsmöglichkeiten;[3, 7, 12]
76;Guter ÖV, viel Grünanlagen, immer/ meistens sauber/ gepflegt;[3, 5, 20]
77;Rhein  Wenkenpark  Wiese;[5, 15]
78;Der Rhein gefällt mir und die Einkaufsmöglichkeiten;[1, 4]
79;Der Rhein  Einkaufsmöglichkeiten;[1]
80;Kunsteisbahn Eglisee  St.Jakkob  Die Messe;[7]
81;Mein Quartier.;[-99]
82;Bei Hochbergerstrasse der Stücki.;[15]
83;Es ist sauber, gute öffentliche Verkehrsmittel, nicht zu gross aber trotzdem alles vorhanden.;[3, 20]
84;Rhein, Stadt;[1, 12]
85;Mir habe das Rhein sehr gefallen.  Ich wohne in den Stadt und in der nähe ist Migros, Coop etc.;[1, 4, 12]
86;Die verschiedenen Einkaufsmöglichkeiten  Man ist schnell an einem anderen Ort;[2]
87;Ich finde es sehr gut, dass alle Leute hier respektiert werden, so wie sie sind.;[19]
88;"Rhein (Ein guter Ort zum ""Relaxen"")";[5]
89;Viele Parks zum mit den Kindern oder Tieren spielen;[5]
90;Die Stadt, die Parks, was man hier machen kan.  Der Rhein;[1, 5, 12]
91;Die Grösse das man nicht lange hat bis wo hin  Das Schulsystem  Die Kriminalität;[11, 14]
92;Es ist eine sehr schöne Stadt. Es hat alles was eine Stadt benötigt.;[12, 8]
94;Die Läden, welche in der Nähe ist.  Die Verkehrsmittel;[3, 4]
96;Die Leute sind hier gut drauf ausser die Alten..;[6]
97;Mein Quartier und die Umgebung  Es ist sehr ruhig und schön  Die vielen verschiedenen Verkehrsmittel;[3, 18]
101;Viele;[4]
104;Soziale Wohlfahrt;[-99]
106;Fasnacht, der Rhein;[7, 1]
109;Das es hier viel Shopping Möglichkeiten hat;[4]
111;Herbstmesse;[7]
113;Freizeit  Zentrum;[7]
115;Alles;[8]
116;Das man relativ schnell von zuhause in die Stadt kommt;[3]
117;Herbstmesse;[7]
119;Der Rhein;[1]
124;Die Altstadt  Dass man hier ziemlich Alles hat, wie Cafés, Einkaufsmöglichkeiten, Tram/ Bus, Kino etc.;[4, 6, 8, 10, 12, 15, 16, 17, 19, 20]
125;Rhein, Kinos, Pfalz, Cliquenkeller, Freie Strasse, Theater, Barfi;[5, 7, 12]
126;Kunsteisbahn Margarethen, St. Jakob Arena, Rhein, Freie Strasse, Kinos, Barfi;[7, 12, 15]
127;Viele Freizeitmöglichkeiten  allgemein kurze Distanzen  offene Menschen;[2, 6, 7, 17, 19]
128;Das viele Grün in meinem Quartier, der Rhein im Sommer.;[5, 1]
129;schönes Stadt, viel Grünes;[5, 12]
