text_id;text;result
1;Die Nähe zur Stadt und dass man mit der BVB überall gut hinkommt. Mir gefällt, dass man im Rhein schwimmen kann und alles sehr kompakt ist. Und natürlich die Fasnacht.;[3, 6, 7, 12]
2;Das es den FCB gibt.;[9]
3;Mir gefällt, dass die Innenstadt kompakt ist, dass der Rhein durch Basel fliesst.;[1, 12]
4;Ich mag die eher ruhige Umgebung, die aber trotzdem relativ nahe am Zentrum liegt (also mit Tram und Bus kommt man schnell in die Stadt).;[3, 12]
6;Die Innenstadt  das öffentliche Verkehrssystem  Direkt an der Grenze zu Deutschland und Frankreich;[3, 12]
7;Das es hier viele Unterhaltungsmöglichkeiten, wie Kino, Schwimmbäder etc., hat. Und die vielen Cafés;[7]
8;Park in der Nähe, lange Erlen-> Pumpwerk  Freunde, Trammhaltestelle in der Nähe, Spital;[5, 3]
9;Dass es viele Freizeitmöglichkeiten gibt (Rhein, Parks etc.);[7]
10;Ausgang abends  Lange Erlen;[7]
11;Eigentlich fast alles;[8]
12;vorhandene Grünflächen;[5]
13;Es ist nicht zu klein und nicht zu gross. Man kennt viele Leute, kann aber noch mehr kennenlernen.;[6, 17]
14;Es hat viele grüne Pärke;[5]
15;Das man Abends raus gehen kann und es ziemlich sicher ist.;[14]
16;Basel  Rhy schwimme;[1]
17;Das man so schnell einkaufen kann.;[4]
18;Stadt;[12]
20;viel Grün;[5]
21;Das man ganz schnell nach Deutschland kommt.  Und, dass alles in der Nähe isch;[2]
22;Schulareal  Stadt  Bus/ Tram-Verbindungen;[3, 12, 16]
23;alles;[8]
24;Man hat alles was man braucht und ist nahe an den Grenzen;[8, 12]
26;die Menschen, die Klima;[6, 999]
27;Die möglichkeit schnell in der Stadt zu sein. Ist gross. Die vielen Verkährsmöglichkeiten.;[3]
31;Man kann vieles machen aktivitäten etc.;[7]
34;Es gibt viele mögliche Sachen zum unternehmen;[7]
35;Die Stadt, die Einkaufsläden, man hat fast alles was man im Notfall braucht;[4]
39;Das es schulisch so viele möglichkeiten gibt.;[11]
40;die alten Gebäude  die Buse und trams  den Rhein;[1, 3, 5]
42;Die Möglichkeiten die wir haben und es ist einfach toll hier.;[8]
